,SUBCAT,DESCRICAO
8874,V539,Ocupante de uma caminhonete traumatizado em colisão com um automóvel [carro] ou uma caminhonete - ocupante não especificado de uma caminhonete traumatizado em um acidente de trânsito
8875,V540,Ocupante de uma caminhonete traumatizado em colisão com um veículo de transporte pesado ou um ônibus - condutor [motorista] traumatizado em um acidente não-de-trânsito
8876,V541,Ocupante de uma caminhonete traumatizado em colisão com um veículo de transporte pesado ou um ônibus - passageiro traumatizado em um acidente não-de-trânsito
8877,V542,Ocupante de uma caminhonete traumatizado em colisão com um veículo de transporte pesado ou um ônibus - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito
8878,V543,Ocupante de uma caminhonete traumatizado em colisão com um veículo de transporte pesado ou um ônibus - ocupante não especificado de uma caminhonete traumatizado em um acidente não-de-trânsito
8879,V544,Ocupante de uma caminhonete traumatizado em colisão com um veículo de transporte pesado ou um ônibus - pessoa traumatizado ao subir ou descer do veículo
8880,V545,Ocupante de uma caminhonete traumatizado em colisão com um veículo de transporte pesado ou um ônibus - condutor [motorista] traumatizado em um acidente de trânsito
8881,V546,Ocupante de uma caminhonete traumatizado em colisão com um veículo de transporte pesado ou um ônibus - passageiro traumatizado em um acidente de trânsito
8882,V547,Ocupante de uma caminhonete traumatizado em colisão com um veículo de transporte pesado ou um ônibus - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito
8883,V549,Ocupante de uma caminhonete traumatizado em colisão com um veículo de transporte pesado ou um ônibus - ocupante não especificado de uma caminhonete traumatizado em um acidente de trânsito
8884,V550,Ocupante de uma caminhonete traumatizado em colisão com um trem [comboio] ou veículo ferroviário - condutor [motorista] traumatizado em um acidente não-de-trânsito
8885,V551,Ocupante de uma caminhonete traumatizado em colisão com um trem [comboio] ou veículo ferroviário - passageiro traumatizado em um acidente não-de-trânsito
8886,V552,Ocupante de uma caminhonete traumatizado em colisão com um trem [comboio] ou veículo ferroviário - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito
8887,V553,Ocupante de uma caminhonete traumatizado em colisão com um trem [comboio] ou veículo ferroviário - ocupante não especificado de uma caminhonete traumatizado em um acidente não-de-trânsito
8888,V554,Ocupante de uma caminhonete traumatizado em colisão com um trem [comboio] ou veículo ferroviário - pessoa traumatizado ao subir ou descer do veículo
8889,V555,Ocupante de uma caminhonete traumatizado em colisão com um trem [comboio] ou veículo ferroviário - condutor [motorista] traumatizado em um acidente de trânsito
8890,V556,Ocupante de uma caminhonete traumatizado em colisão com um trem [comboio] ou veículo ferroviário - passageiro traumatizado em um acidente de trânsito
8891,V557,Ocupante de uma caminhonete traumatizado em colisão com um trem [comboio] ou veículo ferroviário - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito
8892,V559,Ocupante de uma caminhonete traumatizado em colisão com um trem [comboio] ou veículo ferroviário - ocupante não especificado de uma caminhonete traumatizado em um acidente de trânsito
8893,V560,Ocupante de uma caminhonete traumatizado em colisão com outro veículo não-motorizado - condutor [motorista] traumatizado em um acidente não-de-trânsito
8894,V561,Ocupante de uma caminhonete traumatizado em colisão com outro veículo não-motorizado - passageiro traumatizado em um acidente não-de-trânsito
8895,V562,Ocupante de uma caminhonete traumatizado em colisão com outro veículo não-motorizado - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito
8896,V563,Ocupante de uma caminhonete traumatizado em colisão com outro veículo não-motorizado - ocupante não especificado de uma caminhonete traumatizado em um acidente não-de-trânsito
8897,V564,Ocupante de uma caminhonete traumatizado em colisão com outro veículo não-motorizado - pessoa traumatizado ao subir ou descer do veículo
8898,V565,Ocupante de uma caminhonete traumatizado em colisão com outro veículo não-motorizado - condutor [motorista] traumatizado em um acidente de trânsito
8899,V566,Ocupante de uma caminhonete traumatizado em colisão com outro veículo não-motorizado - passageiro traumatizado em um acidente de trânsito
8900,V567,Ocupante de uma caminhonete traumatizado em colisão com outro veículo não-motorizado - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito
8901,V569,Ocupante de uma caminhonete traumatizado em colisão com outro veículo não-motorizado - ocupante não especificado de uma caminhonete traumatizado em um acidente de trânsito
8902,V570,Ocupante de uma caminhonete traumatizado em colisão com um objeto fixo ou parado - condutor [motorista] traumatizado em um acidente não-de-trânsito
8903,V571,Ocupante de uma caminhonete traumatizado em colisão com um objeto fixo ou parado - passageiro traumatizado em um acidente não-de-trânsito
8904,V572,Ocupante de uma caminhonete traumatizado em colisão com um objeto fixo ou parado - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito
8905,V573,Ocupante de uma caminhonete traumatizado em colisão com um objeto fixo ou parado - ocupante não especificado de uma caminhonete traumatizado em um acidente não-de-trânsito
8906,V574,Ocupante de uma caminhonete traumatizado em colisão com um objeto fixo ou parado - pessoa traumatizado ao subir ou descer do veículo
8907,V575,Ocupante de uma caminhonete traumatizado em colisão com um objeto fixo ou parado - condutor [motorista] traumatizado em um acidente de trânsito
8908,V576,Ocupante de uma caminhonete traumatizado em colisão com um objeto fixo ou parado - passageiro traumatizado em um acidente de trânsito
8909,V577,Ocupante de uma caminhonete traumatizado em colisão com um objeto fixo ou parado - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito
8910,V579,Ocupante de uma caminhonete traumatizado em colisão com um objeto fixo ou parado - ocupante não especificado de uma caminhonete traumatizado em um acidente de trânsito
8911,V580,Ocupante de uma caminhonete traumatizado em um acidente de transporte sem colisão - condutor [motorista] traumatizado em um acidente não-de-trânsito
8912,V581,Ocupante de uma caminhonete traumatizado em um acidente de transporte sem colisão - passageiro traumatizado em um acidente não-de-trânsito
8913,V582,Ocupante de uma caminhonete traumatizado em um acidente de transporte sem colisão - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito
8914,V583,Ocupante de uma caminhonete traumatizado em um acidente de transporte sem colisão - ocupante não especificado de uma caminhonete traumatizado em um acidente não-de-trânsito
8915,V584,Ocupante de uma caminhonete traumatizado em um acidente de transporte sem colisão - pessoa traumatizado ao subir ou descer do veículo
8916,V585,Ocupante de uma caminhonete traumatizado em um acidente de transporte sem colisão - condutor [motorista] traumatizado em um acidente de trânsito
8917,V586,Ocupante de uma caminhonete traumatizado em um acidente de transporte sem colisão - passageiro traumatizado em um acidente de trânsito
8918,V587,Ocupante de uma caminhonete traumatizado em um acidente de transporte sem colisão - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito
8919,V589,Ocupante de uma caminhonete traumatizado em um acidente de transporte sem colisão - ocupante não especificado de uma caminhonete traumatizado em um acidente de trânsito
8920,V590,"Condutor [motorista] traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente não-de-trânsito"
8921,V591,"Passageiro traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente não-de-trânsito"
8922,V592,"Ocupante não especificado de uma caminhonete traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente não-de-trânsito"
8923,V593,Ocupante [qualquer] de uma caminhonete traumatizado em um acidente não especificado e não-de-trânsito
8924,V594,"Condutor [motorista] traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente de trânsito"
8925,V595,"Passageiro de uma caminhonete traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente de trânsito"
8926,V596,"Ocupante não especificado de uma caminhonete traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente de trânsito"
8927,V598,Ocupante [qualquer] de uma caminhonete traumatizado em outros acidentes de transporte especificados
8928,V599,Ocupante [qualquer] de uma caminhonete traumatizado em um acidente de trânsito não especificado
8929,V600,Ocupante de um veículo de transporte pesado traumatizado em colisão com um pedestre ou um animal - condutor [motorista] traumatizado em um acidente não-de-trânsito
8930,V601,Ocupante de um veículo de transporte pesado traumatizado em colisão com um pedestre ou um animal - passageiro traumatizado em um acidente não-de-trânsito
8931,V602,Ocupante de um veículo de transporte pesado traumatizado em colisão com um pedestre ou um animal - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito
8932,V603,Ocupante de um veículo de transporte pesado traumatizado em colisão com um pedestre ou um animal - ocupante não especificado de um veículo de transporte pesado traumatizado em um acidente não-de-trânsito
8933,V604,Ocupante de um veículo de transporte pesado traumatizado em colisão com um pedestre ou um animal - pessoa traumatizado ao subir ou descer do veículo
8934,V605,Ocupante de um veículo de transporte pesado traumatizado em colisão com um pedestre ou um animal - condutor [motorista] traumatizado em um acidente de trânsito
8935,V606,Ocupante de um veículo de transporte pesado traumatizado em colisão com um pedestre ou um animal - passageiro traumatizado em um acidente de trânsito
8936,V607,Ocupante de um veículo de transporte pesado traumatizado em colisão com um pedestre ou um animal - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito
8937,V609,Ocupante de um veículo de transporte pesado traumatizado em colisão com um pedestre ou um animal - ocupante não especificado de um veículo de transporte pesado traumatizado em um acidente de trânsito
8938,V610,Ocupante de um veículo de transporte pesado traumatizado em colisão com um veículo a pedal - condutor [motorista] traumatizado em um acidente não-de-trânsito
8939,V611,Ocupante de um veículo de transporte pesado traumatizado em colisão com um veículo a pedal - passageiro traumatizado em um acidente não-de-trânsito
8940,V612,Ocupante de um veículo de transporte pesado traumatizado em colisão com um veículo a pedal - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito
8941,V613,Ocupante de um veículo de transporte pesado traumatizado em colisão com um veículo a pedal - ocupante não especificado de um veículo de transporte pesado traumatizado em um acidente não-de-trânsito
8942,V614,Ocupante de um veículo de transporte pesado traumatizado em colisão com um veículo a pedal - pessoa traumatizado ao subir ou descer do veículo
8943,V615,Ocupante de um veículo de transporte pesado traumatizado em colisão com um veículo a pedal - condutor [motorista] traumatizado em um acidente de trânsito
8944,V616,Ocupante de um veículo de transporte pesado traumatizado em colisão com um veículo a pedal - passageiro traumatizado em um acidente de trânsito
8945,V617,Ocupante de um veículo de transporte pesado traumatizado em colisão com um veículo a pedal - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito
8946,V619,Ocupante de um veículo de transporte pesado traumatizado em colisão com um veículo a pedal - ocupante não especificado de um veículo de transporte pesado traumatizado em um acidente de trânsito
8947,V620,Ocupante de um veículo de transporte pesado traumatizado em colisão com um veículo a motor de duas ou três rodas - condutor [motorista] traumatizado em um acidente não-de-trânsito
8948,V621,Ocupante de um veículo de transporte pesado traumatizado em colisão com um veículo a motor de duas ou três rodas - passageiro traumatizado em um acidente não-de-trânsito
8949,V622,Ocupante de um veículo de transporte pesado traumatizado em colisão com um veículo a motor de duas ou três rodas - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito
8950,V623,Ocupante de um veículo de transporte pesado traumatizado em colisão com um veículo a motor de duas ou três rodas - ocupante não especificado de um veículo de transporte pesado traumatizado em um acidente não-de-trânsito
8951,V624,Ocupante de um veículo de transporte pesado traumatizado em colisão com um veículo a motor de duas ou três rodas - pessoa traumatizado ao subir ou descer do veículo
8952,V625,Ocupante de um veículo de transporte pesado traumatizado em colisão com um veículo a motor de duas ou três rodas - condutor [motorista] traumatizado em um acidente de trânsito
8953,V626,Ocupante de um veículo de transporte pesado traumatizado em colisão com um veículo a motor de duas ou três rodas - passageiro traumatizado em um acidente de trânsito
8954,V627,Ocupante de um veículo de transporte pesado traumatizado em colisão com um veículo a motor de duas ou três rodas - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito
8955,V629,Ocupante de um veículo de transporte pesado traumatizado em colisão com um veículo a motor de duas ou três rodas - ocupante não especificado de um veículo de transporte pesado traumatizado em um acidente de trânsito
8956,V630,Ocupante de um veículo de transporte pesado traumatizado em colisão com um automóvel [carro] ou uma caminhonete - condutor [motorista] traumatizado em um acidente não-de-trânsito
8957,V631,Ocupante de um veículo de transporte pesado traumatizado em colisão com um automóvel [carro] ou uma caminhonete - passageiro traumatizado em um acidente não-de-trânsito
8958,V632,Ocupante de um veículo de transporte pesado traumatizado em colisão com um automóvel [carro] ou uma caminhonete - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito
8959,V633,Ocupante de um veículo de transporte pesado traumatizado em colisão com um automóvel [carro] ou uma caminhonete - ocupante não especificado de um veículo de transporte pesado traumatizado em um acidente não-de-trânsito
8960,V634,Ocupante de um veículo de transporte pesado traumatizado em colisão com um automóvel [carro] ou uma caminhonete - pessoa traumatizado ao subir ou descer do veículo
8961,V635,Ocupante de um veículo de transporte pesado traumatizado em colisão com um automóvel [carro] ou uma caminhonete - condutor [motorista] traumatizado em um acidente de trânsito
8962,V636,Ocupante de um veículo de transporte pesado traumatizado em colisão com um automóvel [carro] ou uma caminhonete - passageiro traumatizado em um acidente de trânsito
8963,V637,Ocupante de um veículo de transporte pesado traumatizado em colisão com um automóvel [carro] ou uma caminhonete - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito
8964,V639,Ocupante de um veículo de transporte pesado traumatizado em colisão com um automóvel [carro] ou uma caminhonete - ocupante não especificado de um veículo de transporte pesado traumatizado em um acidente de trânsito
8965,V640,Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo de transporte pesado ou um ônibus - condutor [motorista] traumatizado em um acidente não-de-trânsito
8966,V641,Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo de transporte pesado ou um ônibus - passageiro traumatizado em um acidente não-de-trânsito
8967,V642,Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo de transporte pesado ou um ônibus - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito
8968,V643,Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo de transporte pesado ou um ônibus - ocupante não especificado de um veículo de transporte pesado traumatizado em um acidente não-de-trânsito
8969,V644,Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo de transporte pesado ou um ônibus - pessoa traumatizado ao subir ou descer do veículo
8970,V645,Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo de transporte pesado ou um ônibus - condutor [motorista] traumatizado em um acidente de trânsito
8971,V646,Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo de transporte pesado ou um ônibus - passageiro traumatizado em um acidente de trânsito
8972,V647,Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo de transporte pesado ou um ônibus - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito
8973,V649,Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo de transporte pesado ou um ônibus - ocupante não especificado de um veículo de transporte pesado traumatizado em um acidente de trânsito
8974,V650,Ocupante de um veículo de transporte pesado traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - condutor [motorista] traumatizado em um acidente não-de-trânsito
8975,V651,Ocupante de um veículo de transporte pesado traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - passageiro traumatizado em um acidente não-de-trânsito
8976,V652,Ocupante de um veículo de transporte pesado traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito
8977,V653,Ocupante de um veículo de transporte pesado traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - ocupante não especificado de um veículo de transporte pesado traumatizado em um acidente não-de-trânsito
8978,V654,Ocupante de um veículo de transporte pesado traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - pessoa traumatizado ao subir ou descer do veículo
8979,V655,Ocupante de um veículo de transporte pesado traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - condutor [motorista] traumatizado em um acidente de trânsito
8980,V656,Ocupante de um veículo de transporte pesado traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - passageiro traumatizado em um acidente de trânsito
8981,V657,Ocupante de um veículo de transporte pesado traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito
8982,V659,Ocupante de um veículo de transporte pesado traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - ocupante não especificado de um veículo de transporte pesado traumatizado em um acidente de trânsito
8983,V660,Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo não-motorizado - condutor [motorista] traumatizado em um acidente não-de-trânsito
8984,V661,Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo não-motorizado - passageiro traumatizado em um acidente não-de-trânsito
8985,V662,Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo não-motorizado - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito
8986,V663,Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo não-motorizado - ocupante não especificado de um veículo de transporte pesado traumatizado em um acidente não-de-trânsito
8987,V664,Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo não-motorizado - pessoa traumatizado ao subir ou descer do veículo
8988,V665,Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo não-motorizado - condutor [motorista] traumatizado em um acidente de trânsito
8989,V666,Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo não-motorizado - passageiro traumatizado em um acidente de trânsito
8990,V667,Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo não-motorizado - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito
8991,V669,Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo não-motorizado - ocupante não especificado de um veículo de transporte pesado traumatizado em um acidente de trânsito
8992,V670,Ocupante de um veículo de transporte pesado traumatizado em colisão com um objeto fixo ou parado - condutor [motorista] traumatizado em um acidente não-de-trânsito
8993,V671,Ocupante de um veículo de transporte pesado traumatizado em colisão com um objeto fixo ou parado - passageiro traumatizado em um acidente não-de-trânsito
8994,V672,Ocupante de um veículo de transporte pesado traumatizado em colisão com um objeto fixo ou parado - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito
8995,V673,Ocupante de um veículo de transporte pesado traumatizado em colisão com um objeto fixo ou parado - ocupante não especificado de um veículo de transporte pesado traumatizado em um acidente não-de-trânsito
8996,V674,Ocupante de um veículo de transporte pesado traumatizado em colisão com um objeto fixo ou parado - pessoa traumatizado ao subir ou descer do veículo
8997,V675,Ocupante de um veículo de transporte pesado traumatizado em colisão com um objeto fixo ou parado - condutor [motorista] traumatizado em um acidente de trânsito
8998,V676,Ocupante de um veículo de transporte pesado traumatizado em colisão com um objeto fixo ou parado - passageiro traumatizado em um acidente de trânsito
8999,V677,Ocupante de um veículo de transporte pesado traumatizado em colisão com um objeto fixo ou parado - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito
9000,V679,Ocupante de um veículo de transporte pesado traumatizado em colisão com um objeto fixo ou parado - ocupante não especificado de um veículo de transporte pesado traumatizado em um acidente de trânsito
9001,V680,Ocupante de um veículo de transporte pesado traumatizado em um acidente de transporte sem colisão - condutor [motorista] traumatizado em um acidente não-de-trânsito
9002,V681,Ocupante de um veículo de transporte pesado traumatizado em um acidente de transporte sem colisão - passageiro traumatizado em um acidente não-de-trânsito
9003,V682,Ocupante de um veículo de transporte pesado traumatizado em um acidente de transporte sem colisão - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito
9004,V683,Ocupante de um veículo de transporte pesado traumatizado em um acidente de transporte sem colisão - ocupante não especificado de um veículo de transporte pesado traumatizado em um acidente não-de-trânsito
9005,V684,Ocupante de um veículo de transporte pesado traumatizado em um acidente de transporte sem colisão - pessoa traumatizado ao subir ou descer do veículo
9006,V685,Ocupante de um veículo de transporte pesado traumatizado em um acidente de transporte sem colisão - condutor [motorista] traumatizado em um acidente de trânsito
9007,V686,Ocupante de um veículo de transporte pesado traumatizado em um acidente de transporte sem colisão - passageiro traumatizado em um acidente de trânsito
9008,V687,Ocupante de um veículo de transporte pesado traumatizado em um acidente de transporte sem colisão - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito
9009,V689,Ocupante de um veículo de transporte pesado traumatizado em um acidente de transporte sem colisão - ocupante não especificado de um veículo de transporte pesado traumatizado em um acidente de trânsito
9010,V690,"Condutor [motorista] traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente não-de-trânsito"
9011,V691,"Passageiro traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente não-de-trânsito"
9012,V692,"Ocupante não especificado de um veículo de transporte pesado traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente não-de-trânsito"
9013,V693,Ocupante [qualquer] de um veículo de transporte pesado traumatizado em um acidente não especificado e não-de-trânsito
9014,V694,"Condutor [motorista] traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente de trânsito"
9015,V695,"Passageiro traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente de trânsito"
9016,V696,"Ocupante não especificado de um veículo de transporte pesado traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente de trânsito"
9017,V698,Ocupante [qualquer] de um veículo de transporte pesado traumatizado em outros acidentes de transporte especificados
9018,V699,Ocupante [qualquer] de um veículo de transporte pesado traumatizado em um acidente de trânsito não especificado
9019,V700,Ocupante de um ônibus traumatizado em colisão com um pedestre ou um animal - condutor [motorista] traumatizado em um acidente não-de-trânsito
9020,V701,Ocupante de um ônibus traumatizado em colisão com um pedestre ou um animal - passageiro traumatizado em um acidente não-de-trânsito
9021,V702,Ocupante de um ônibus traumatizado em colisão com um pedestre ou um animal - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito
9022,V703,Ocupante de um ônibus traumatizado em colisão com um pedestre ou um animal - ocupante não especificado de um ônibus traumatizado em um acidente não-de-trânsito
9023,V704,Ocupante de um ônibus traumatizado em colisão com um pedestre ou um animal - pessoa traumatizado ao subir ou descer do veículo
9024,V705,Ocupante de um ônibus traumatizado em colisão com um pedestre ou um animal - condutor [motorista] traumatizado em um acidente de trânsito
9025,V706,Ocupante de um ônibus traumatizado em colisão com um pedestre ou um animal - passageiro traumatizado em um acidente de trânsito
9026,V707,Ocupante de um ônibus traumatizado em colisão com um pedestre ou um animal - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito
9027,V709,Ocupante de um ônibus traumatizado em colisão com um pedestre ou um animal - ocupante não especificado de um ônibus traumatizado em um acidente de trânsito
9028,V710,Ocupante de um ônibus traumatizado em colisão com um veículo a pedal - condutor [motorista] traumatizado em um acidente não-de-trânsito
9029,V711,Ocupante de um ônibus traumatizado em colisão com um veículo a pedal - passageiro traumatizado em um acidente não-de-trânsito
9030,V712,Ocupante de um ônibus traumatizado em colisão com um veículo a pedal - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito
9031,V713,Ocupante de um ônibus traumatizado em colisão com um veículo a pedal - ocupante não especificado de um ônibus traumatizado em um acidente não-de-trânsito
9032,V714,Ocupante de um ônibus traumatizado em colisão com um veículo a pedal - pessoa traumatizado ao subir ou descer do veículo
9033,V715,Ocupante de um ônibus traumatizado em colisão com um veículo a pedal - condutor [motorista] traumatizado em um acidente de trânsito
9034,V716,Ocupante de um ônibus traumatizado em colisão com um veículo a pedal - passageiro traumatizado em um acidente de trânsito
9035,V717,Ocupante de um ônibus traumatizado em colisão com um veículo a pedal - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito
9036,V719,Ocupante de um ônibus traumatizado em colisão com um veículo a pedal - ocupante não especificado de um ônibus traumatizado em um acidente de trânsito
9037,V720,Ocupante de um ônibus traumatizado em colisão com um outro veículo a motor de duas ou três rodas - condutor [motorista] traumatizado em um acidente não-de-trânsito
9038,V721,Ocupante de um ônibus traumatizado em colisão com um outro veículo a motor de duas ou três rodas - passageiro traumatizado em um acidente não-de-trânsito
9039,V722,Ocupante de um ônibus traumatizado em colisão com um outro veículo a motor de duas ou três rodas - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito
9040,V723,Ocupante de um ônibus traumatizado em colisão com um outro veículo a motor de duas ou três rodas - ocupante não especificado de um ônibus traumatizado em um acidente não-de-trânsito
9041,V724,Ocupante de um ônibus traumatizado em colisão com um outro veículo a motor de duas ou três rodas - pessoa traumatizado ao subir ou descer do veículo
9042,V725,Ocupante de um ônibus traumatizado em colisão com um outro veículo a motor de duas ou três rodas - condutor [motorista] traumatizado em um acidente de trânsito
9043,V726,Ocupante de um ônibus traumatizado em colisão com um outro veículo a motor de duas ou três rodas - passageiro traumatizado em um acidente de trânsito
9044,V727,Ocupante de um ônibus traumatizado em colisão com um outro veículo a motor de duas ou três rodas - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito
9045,V729,Ocupante de um ônibus traumatizado em colisão com um outro veículo a motor de duas ou três rodas - ocupante não especificado de um ônibus traumatizado em um acidente de trânsito
9046,V730,Ocupante de um ônibus traumatizado em colisão com um automóvel [carro] ou uma caminhonete - condutor [motorista] traumatizado em um acidente não-de-trânsito
9047,V731,Ocupante de um ônibus traumatizado em colisão com um automóvel [carro] ou uma caminhonete - passageiro traumatizado em um acidente não-de-trânsito
9048,V732,Ocupante de um ônibus traumatizado em colisão com um automóvel [carro] ou uma caminhonete - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito
9049,V733,Ocupante de um ônibus traumatizado em colisão com um automóvel [carro] ou uma caminhonete - ocupante não especificado de um ônibus traumatizado em um acidente não-de-trânsito
9050,V734,Ocupante de um ônibus traumatizado em colisão com um automóvel [carro] ou uma caminhonete - pessoa traumatizado ao subir ou descer do veículo
9051,V735,Ocupante de um ônibus traumatizado em colisão com um automóvel [carro] ou uma caminhonete - condutor [motorista] traumatizado em um acidente de trânsito
9052,V736,Ocupante de um ônibus traumatizado em colisão com um automóvel [carro] ou uma caminhonete - passageiro traumatizado em um acidente de trânsito
9053,V737,Ocupante de um ônibus traumatizado em colisão com um automóvel [carro] ou uma caminhonete - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito
9054,V739,Ocupante de um ônibus traumatizado em colisão com um automóvel [carro] ou uma caminhonete - ocupante não especificado de um ônibus traumatizado em um acidente de trânsito
9055,V740,Ocupante de um ônibus traumatizado em colisão com um veículo de transporte pesado ou um ônibus - condutor [motorista] traumatizado em um acidente não-de-trânsito
9056,V741,Ocupante de um ônibus traumatizado em colisão com um veículo de transporte pesado ou um ônibus - passageiro traumatizado em um acidente não-de-trânsito
9057,V742,Ocupante de um ônibus traumatizado em colisão com um veículo de transporte pesado ou um ônibus - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito
9058,V743,Ocupante de um ônibus traumatizado em colisão com um veículo de transporte pesado ou um ônibus - ocupante não especificado de um ônibus traumatizado em um acidente não-de-trânsito
9059,V744,Ocupante de um ônibus traumatizado em colisão com um veículo de transporte pesado ou um ônibus - pessoa traumatizado ao subir ou descer do veículo
9060,V745,Ocupante de um ônibus traumatizado em colisão com um veículo de transporte pesado ou um ônibus - condutor [motorista] traumatizado em um acidente de trânsito
9061,V746,Ocupante de um ônibus traumatizado em colisão com um veículo de transporte pesado ou um ônibus - passageiro traumatizado em um acidente de trânsito
9062,V747,Ocupante de um ônibus traumatizado em colisão com um veículo de transporte pesado ou um ônibus - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito
9063,V749,Ocupante de um ônibus traumatizado em colisão com um veículo de transporte pesado ou um ônibus - ocupante não especificado de um ônibus traumatizado em um acidente de trânsito
9064,V750,Ocupante de um ônibus traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - condutor [motorista] traumatizado em um acidente não-de-trânsito
9065,V751,Ocupante de um ônibus traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - passageiro traumatizado em um acidente não-de-trânsito
9066,V752,Ocupante de um ônibus traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito
9067,V753,Ocupante de um ônibus traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - ocupante não especificado de um ônibus traumatizado em um acidente não-de-trânsito
9068,V754,Ocupante de um ônibus traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - pessoa traumatizado ao subir ou descer do veículo
