type,value,description
cid,V641,Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo de transporte pesado ou um ônibus - passageiro traumatizado em um acidente não-de-trânsito
cid,V642,Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo de transporte pesado ou um ônibus - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito
cid,V643,Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo de transporte pesado ou um ônibus - ocupante não especificado de um veículo de transporte pesado traumatizado em um acidente não-de-trânsito
cid,V644,Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo de transporte pesado ou um ônibus - pessoa traumatizado ao subir ou descer do veículo
cid,V645,Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo de transporte pesado ou um ônibus - condutor [motorista] traumatizado em um acidente de trânsito
cid,V646,Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo de transporte pesado ou um ônibus - passageiro traumatizado em um acidente de trânsito
cid,V647,Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo de transporte pesado ou um ônibus - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito
cid,V649,Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo de transporte pesado ou um ônibus - ocupante não especificado de um veículo de transporte pesado traumatizado em um acidente de trânsito
cid,V650,Ocupante de um veículo de transporte pesado traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - condutor [motorista] traumatizado em um acidente não-de-trânsito
cid,V651,Ocupante de um veículo de transporte pesado traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - passageiro traumatizado em um acidente não-de-trânsito
cid,V652,Ocupante de um veículo de transporte pesado traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito
cid,V653,Ocupante de um veículo de transporte pesado traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - ocupante não especificado de um veículo de transporte pesado traumatizado em um acidente não-de-trânsito
cid,V654,Ocupante de um veículo de transporte pesado traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - pessoa traumatizado ao subir ou descer do veículo
cid,V655,Ocupante de um veículo de transporte pesado traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - condutor [motorista] traumatizado em um acidente de trânsito
cid,V656,Ocupante de um veículo de transporte pesado traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - passageiro traumatizado em um acidente de trânsito
cid,V657,Ocupante de um veículo de transporte pesado traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito
cid,V659,Ocupante de um veículo de transporte pesado traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - ocupante não especificado de um veículo de transporte pesado traumatizado em um acidente de trânsito
cid,V660,Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo não-motorizado - condutor [motorista] traumatizado em um acidente não-de-trânsito
cid,V661,Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo não-motorizado - passageiro traumatizado em um acidente não-de-trânsito
cid,V662,Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo não-motorizado - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito
cid,V663,Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo não-motorizado - ocupante não especificado de um veículo de transporte pesado traumatizado em um acidente não-de-trânsito
cid,V664,Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo não-motorizado - pessoa traumatizado ao subir ou descer do veículo
cid,V665,Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo não-motorizado - condutor [motorista] traumatizado em um acidente de trânsito
cid,V666,Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo não-motorizado - passageiro traumatizado em um acidente de trânsito
cid,V667,Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo não-motorizado - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito
cid,V669,Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo não-motorizado - ocupante não especificado de um veículo de transporte pesado traumatizado em um acidente de trânsito
cid,V670,Ocupante de um veículo de transporte pesado traumatizado em colisão com um objeto fixo ou parado - condutor [motorista] traumatizado em um acidente não-de-trânsito
cid,V671,Ocupante de um veículo de transporte pesado traumatizado em colisão com um objeto fixo ou parado - passageiro traumatizado em um acidente não-de-trânsito
cid,V672,Ocupante de um veículo de transporte pesado traumatizado em colisão com um objeto fixo ou parado - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito
cid,V673,Ocupante de um veículo de transporte pesado traumatizado em colisão com um objeto fixo ou parado - ocupante não especificado de um veículo de transporte pesado traumatizado em um acidente não-de-trânsito
cid,V674,Ocupante de um veículo de transporte pesado traumatizado em colisão com um objeto fixo ou parado - pessoa traumatizado ao subir ou descer do veículo
cid,V675,Ocupante de um veículo de transporte pesado traumatizado em colisão com um objeto fixo ou parado - condutor [motorista] traumatizado em um acidente de trânsito
cid,V676,Ocupante de um veículo de transporte pesado traumatizado em colisão com um objeto fixo ou parado - passageiro traumatizado em um acidente de trânsito
cid,V677,Ocupante de um veículo de transporte pesado traumatizado em colisão com um objeto fixo ou parado - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito
cid,V679,Ocupante de um veículo de transporte pesado traumatizado em colisão com um objeto fixo ou parado - ocupante não especificado de um veículo de transporte pesado traumatizado em um acidente de trânsito
cid,V680,Ocupante de um veículo de transporte pesado traumatizado em um acidente de transporte sem colisão - condutor [motorista] traumatizado em um acidente não-de-trânsito
cid,V681,Ocupante de um veículo de transporte pesado traumatizado em um acidente de transporte sem colisão - passageiro traumatizado em um acidente não-de-trânsito
cid,V682,Ocupante de um veículo de transporte pesado traumatizado em um acidente de transporte sem colisão - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito
cid,V683,Ocupante de um veículo de transporte pesado traumatizado em um acidente de transporte sem colisão - ocupante não especificado de um veículo de transporte pesado traumatizado em um acidente não-de-trânsito
cid,V684,Ocupante de um veículo de transporte pesado traumatizado em um acidente de transporte sem colisão - pessoa traumatizado ao subir ou descer do veículo
cid,V685,Ocupante de um veículo de transporte pesado traumatizado em um acidente de transporte sem colisão - condutor [motorista] traumatizado em um acidente de trânsito
cid,V686,Ocupante de um veículo de transporte pesado traumatizado em um acidente de transporte sem colisão - passageiro traumatizado em um acidente de trânsito
cid,V687,Ocupante de um veículo de transporte pesado traumatizado em um acidente de transporte sem colisão - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito
cid,V689,Ocupante de um veículo de transporte pesado traumatizado em um acidente de transporte sem colisão - ocupante não especificado de um veículo de transporte pesado traumatizado em um acidente de trânsito
cid,V690,"Condutor [motorista] traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente não-de-trânsito"
cid,V691,"Passageiro traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente não-de-trânsito"
cid,V692,"Ocupante não especificado de um veículo de transporte pesado traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente não-de-trânsito"
cid,V693,Ocupante [qualquer] de um veículo de transporte pesado traumatizado em um acidente não especificado e não-de-trânsito
cid,V694,"Condutor [motorista] traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente de trânsito"
cid,V695,"Passageiro traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente de trânsito"
cid,V696,"Ocupante não especificado de um veículo de transporte pesado traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente de trânsito"
cid,V698,Ocupante [qualquer] de um veículo de transporte pesado traumatizado em outros acidentes de transporte especificados
cid,V699,Ocupante [qualquer] de um veículo de transporte pesado traumatizado em um acidente de trânsito não especificado
cid,V700,Ocupante de um ônibus traumatizado em colisão com um pedestre ou um animal - condutor [motorista] traumatizado em um acidente não-de-trânsito
cid,V701,Ocupante de um ônibus traumatizado em colisão com um pedestre ou um animal - passageiro traumatizado em um acidente não-de-trânsito
cid,V702,Ocupante de um ônibus traumatizado em colisão com um pedestre ou um animal - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito
cid,V703,Ocupante de um ônibus traumatizado em colisão com um pedestre ou um animal - ocupante não especificado de um ônibus traumatizado em um acidente não-de-trânsito
cid,V704,Ocupante de um ônibus traumatizado em colisão com um pedestre ou um animal - pessoa traumatizado ao subir ou descer do veículo
cid,V705,Ocupante de um ônibus traumatizado em colisão com um pedestre ou um animal - condutor [motorista] traumatizado em um acidente de trânsito
cid,V706,Ocupante de um ônibus traumatizado em colisão com um pedestre ou um animal - passageiro traumatizado em um acidente de trânsito
cid,V707,Ocupante de um ônibus traumatizado em colisão com um pedestre ou um animal - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito
cid,V709,Ocupante de um ônibus traumatizado em colisão com um pedestre ou um animal - ocupante não especificado de um ônibus traumatizado em um acidente de trânsito
cid,V710,Ocupante de um ônibus traumatizado em colisão com um veículo a pedal - condutor [motorista] traumatizado em um acidente não-de-trânsito
cid,V711,Ocupante de um ônibus traumatizado em colisão com um veículo a pedal - passageiro traumatizado em um acidente não-de-trânsito
cid,V712,Ocupante de um ônibus traumatizado em colisão com um veículo a pedal - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito
cid,V713,Ocupante de um ônibus traumatizado em colisão com um veículo a pedal - ocupante não especificado de um ônibus traumatizado em um acidente não-de-trânsito
cid,V714,Ocupante de um ônibus traumatizado em colisão com um veículo a pedal - pessoa traumatizado ao subir ou descer do veículo
cid,V715,Ocupante de um ônibus traumatizado em colisão com um veículo a pedal - condutor [motorista] traumatizado em um acidente de trânsito
cid,V716,Ocupante de um ônibus traumatizado em colisão com um veículo a pedal - passageiro traumatizado em um acidente de trânsito
cid,V717,Ocupante de um ônibus traumatizado em colisão com um veículo a pedal - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito
cid,V719,Ocupante de um ônibus traumatizado em colisão com um veículo a pedal - ocupante não especificado de um ônibus traumatizado em um acidente de trânsito
cid,V720,Ocupante de um ônibus traumatizado em colisão com um outro veículo a motor de duas ou três rodas - condutor [motorista] traumatizado em um acidente não-de-trânsito
cid,V721,Ocupante de um ônibus traumatizado em colisão com um outro veículo a motor de duas ou três rodas - passageiro traumatizado em um acidente não-de-trânsito
cid,V722,Ocupante de um ônibus traumatizado em colisão com um outro veículo a motor de duas ou três rodas - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito
cid,V723,Ocupante de um ônibus traumatizado em colisão com um outro veículo a motor de duas ou três rodas - ocupante não especificado de um ônibus traumatizado em um acidente não-de-trânsito
cid,V724,Ocupante de um ônibus traumatizado em colisão com um outro veículo a motor de duas ou três rodas - pessoa traumatizado ao subir ou descer do veículo
cid,V725,Ocupante de um ônibus traumatizado em colisão com um outro veículo a motor de duas ou três rodas - condutor [motorista] traumatizado em um acidente de trânsito
cid,V726,Ocupante de um ônibus traumatizado em colisão com um outro veículo a motor de duas ou três rodas - passageiro traumatizado em um acidente de trânsito
cid,V727,Ocupante de um ônibus traumatizado em colisão com um outro veículo a motor de duas ou três rodas - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito
cid,V729,Ocupante de um ônibus traumatizado em colisão com um outro veículo a motor de duas ou três rodas - ocupante não especificado de um ônibus traumatizado em um acidente de trânsito
cid,V730,Ocupante de um ônibus traumatizado em colisão com um automóvel [carro] ou uma caminhonete - condutor [motorista] traumatizado em um acidente não-de-trânsito
cid,V731,Ocupante de um ônibus traumatizado em colisão com um automóvel [carro] ou uma caminhonete - passageiro traumatizado em um acidente não-de-trânsito
cid,V732,Ocupante de um ônibus traumatizado em colisão com um automóvel [carro] ou uma caminhonete - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito
cid,V733,Ocupante de um ônibus traumatizado em colisão com um automóvel [carro] ou uma caminhonete - ocupante não especificado de um ônibus traumatizado em um acidente não-de-trânsito
cid,V734,Ocupante de um ônibus traumatizado em colisão com um automóvel [carro] ou uma caminhonete - pessoa traumatizado ao subir ou descer do veículo
cid,V735,Ocupante de um ônibus traumatizado em colisão com um automóvel [carro] ou uma caminhonete - condutor [motorista] traumatizado em um acidente de trânsito
cid,V736,Ocupante de um ônibus traumatizado em colisão com um automóvel [carro] ou uma caminhonete - passageiro traumatizado em um acidente de trânsito
cid,V737,Ocupante de um ônibus traumatizado em colisão com um automóvel [carro] ou uma caminhonete - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito
cid,V739,Ocupante de um ônibus traumatizado em colisão com um automóvel [carro] ou uma caminhonete - ocupante não especificado de um ônibus traumatizado em um acidente de trânsito
cid,V740,Ocupante de um ônibus traumatizado em colisão com um veículo de transporte pesado ou um ônibus - condutor [motorista] traumatizado em um acidente não-de-trânsito
cid,V741,Ocupante de um ônibus traumatizado em colisão com um veículo de transporte pesado ou um ônibus - passageiro traumatizado em um acidente não-de-trânsito
cid,V742,Ocupante de um ônibus traumatizado em colisão com um veículo de transporte pesado ou um ônibus - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito
cid,V743,Ocupante de um ônibus traumatizado em colisão com um veículo de transporte pesado ou um ônibus - ocupante não especificado de um ônibus traumatizado em um acidente não-de-trânsito
cid,V744,Ocupante de um ônibus traumatizado em colisão com um veículo de transporte pesado ou um ônibus - pessoa traumatizado ao subir ou descer do veículo
cid,V745,Ocupante de um ônibus traumatizado em colisão com um veículo de transporte pesado ou um ônibus - condutor [motorista] traumatizado em um acidente de trânsito
cid,V746,Ocupante de um ônibus traumatizado em colisão com um veículo de transporte pesado ou um ônibus - passageiro traumatizado em um acidente de trânsito
cid,V747,Ocupante de um ônibus traumatizado em colisão com um veículo de transporte pesado ou um ônibus - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito
cid,V749,Ocupante de um ônibus traumatizado em colisão com um veículo de transporte pesado ou um ônibus - ocupante não especificado de um ônibus traumatizado em um acidente de trânsito
cid,V750,Ocupante de um ônibus traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - condutor [motorista] traumatizado em um acidente não-de-trânsito
cid,V751,Ocupante de um ônibus traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - passageiro traumatizado em um acidente não-de-trânsito
cid,V752,Ocupante de um ônibus traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito
cid,V753,Ocupante de um ônibus traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - ocupante não especificado de um ônibus traumatizado em um acidente não-de-trânsito
cid,V754,Ocupante de um ônibus traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - pessoa traumatizado ao subir ou descer do veículo
cid,V755,Ocupante de um ônibus traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - condutor [motorista] traumatizado em um acidente de trânsito
cid,V756,Ocupante de um ônibus traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - passageiro traumatizado em um acidente de trânsito
cid,V757,Ocupante de um ônibus traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito
cid,V759,Ocupante de um ônibus traumatizado em colisão com um trem [comboio] ou um veículo ferroviário - ocupante não especificado de um ônibus traumatizado em um acidente de trânsito
cid,V760,Ocupante de um ônibus traumatizado em colisão com outro veículo não-motorizado - condutor [motorista] traumatizado em um acidente não-de-trânsito
cid,V761,Ocupante de um ônibus traumatizado em colisão com outro veículo não-motorizado - passageiro traumatizado em um acidente não-de-trânsito
cid,V762,Ocupante de um ônibus traumatizado em colisão com outro veículo não-motorizado - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito
cid,V763,Ocupante de um ônibus traumatizado em colisão com outro veículo não-motorizado - ocupante não especificado de um ônibus traumatizado em um acidente não-de-trânsito
cid,V764,Ocupante de um ônibus traumatizado em colisão com outro veículo não-motorizado - pessoa traumatizado ao subir ou descer do veículo
cid,V765,Ocupante de um ônibus traumatizado em colisão com outro veículo não-motorizado - condutor [motorista] traumatizado em um acidente de trânsito
cid,V766,Ocupante de um ônibus traumatizado em colisão com outro veículo não-motorizado - passageiro traumatizado em um acidente de trânsito
cid,V767,Ocupante de um ônibus traumatizado em colisão com outro veículo não-motorizado - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito
cid,V769,Ocupante de um ônibus traumatizado em colisão com outro veículo não-motorizado - ocupante não especificado de um ônibus traumatizado em um acidente de trânsito
cid,V770,Ocupante de um ônibus traumatizado em colisão com um objeto fixo ou parado - condutor [motorista] traumatizado em um acidente não-de-trânsito
cid,V771,Ocupante de um ônibus traumatizado em colisão com um objeto fixo ou parado - passageiro traumatizado em um acidente não-de-trânsito
cid,V772,Ocupante de um ônibus traumatizado em colisão com um objeto fixo ou parado - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito
cid,V773,Ocupante de um ônibus traumatizado em colisão com um objeto fixo ou parado - ocupante não especificado de um ônibus traumatizado em um acidente não-de-trânsito
cid,V774,Ocupante de um ônibus traumatizado em colisão com um objeto fixo ou parado - pessoa traumatizado ao subir ou descer do veículo
cid,V775,Ocupante de um ônibus traumatizado em colisão com um objeto fixo ou parado - condutor [motorista] traumatizado em um acidente de trânsito
cid,V776,Ocupante de um ônibus traumatizado em colisão com um objeto fixo ou parado - passageiro traumatizado em um acidente de trânsito
cid,V777,Ocupante de um ônibus traumatizado em colisão com um objeto fixo ou parado - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito
cid,V779,Ocupante de um ônibus traumatizado em colisão com um objeto fixo ou parado - ocupante não especificado de um ônibus traumatizado em um acidente de trânsito
cid,V780,Ocupante de um ônibus traumatizado em um acidente de transporte sem colisão - condutor [motorista] traumatizado em um acidente não-de-trânsito
cid,V781,Ocupante de um ônibus traumatizado em um acidente de transporte sem colisão - passageiro traumatizado em um acidente não-de-trânsito
cid,V782,Ocupante de um ônibus traumatizado em um acidente de transporte sem colisão - pessoa viajando no exterior do veículo traumatizada em um acidente não-de-trânsito
cid,V783,Ocupante de um ônibus traumatizado em um acidente de transporte sem colisão - ocupante não especificado de um ônibus traumatizado em um acidente não-de-trânsito
cid,V784,Ocupante de um ônibus traumatizado em um acidente de transporte sem colisão - pessoa traumatizado ao subir ou descer do veículo
cid,V785,Ocupante de um ônibus traumatizado em um acidente de transporte sem colisão - condutor [motorista] traumatizado em um acidente de trânsito
cid,V786,Ocupante de um ônibus traumatizado em um acidente de transporte sem colisão - passageiro traumatizado em um acidente de trânsito
cid,V787,Ocupante de um ônibus traumatizado em um acidente de transporte sem colisão - pessoa viajando no exterior do veículo traumatizada em um acidente de trânsito
cid,V789,Ocupante de um ônibus traumatizado em um acidente de transporte sem colisão - ocupante não especificado de um ônibus traumatizado em um acidente de trânsito
cid,V790,"Condutor [motorista] traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente não-de-trânsito"
cid,V791,"Passageiro traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente não-de-trânsito"
cid,V792,"Ocupante não especificado de um ônibus traumatizado em colisão com outros veículos e com um veículos não especificados, a motor, em um acidente não-de-trânsito"
cid,V793,Ocupante [qualquer] de um ônibus traumatizado em um acidente não-de-trânsito
cid,V794,"Condutor [motorista] traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente de trânsito"
cid,V795,"Passageiro traumatizado em colisão com outros veículos e com veículos não especificados, a motor, em um acidente de trânsito"
cid,V796,"Ocupante não especificado de um ônibus traumatizado em colisão com um outros veículos e com um veículos não especificados, a motor, em um acidente de trânsito"
cid,V798,Ocupante [ qualquer] de um ônibus traumatizado em outros acidentes de transporte especificados
cid,V799,Ocupante [qualquer] de um ônibus traumatizado em um acidente de trânsito não especificado
cid,V800,Queda ou ejeção de uma pessoa montada em animal ou ocupante de um veículo a tração animal em um acidente sem colisão
cid,V801,Pessoa montada em animal ou ocupante de um veículo a tração animal traumatizado em colisão com um pedestre ou um animal
cid,V802,Pessoa montada em animal ou ocupante de um veículo a tração animal traumatizado em colisão com um veículo a pedal
cid,V803,Pessoa montada em animal ou ocupante de um veículo a tração animal traumatizado em colisão com um veículo a motor de duas ou três rodas
cid,V804,"Pessoa montada em animal ou ocupante de um veículo a tração animal traumatizado em colisão com um automóvel [carro], uma caminhonete, um veículo de transporte pesado ou um ônibus"
cid,V805,Pessoa montada em animal ou ocupante de um veículo a tração animal traumatizado em colisão com um outro veículo a motor especificado
cid,V806,Pessoa montada em animal ou ocupante de um veículo a tração animal traumatizado em colisão com um trem [comboio] ou um veículo ferroviário
cid,V807,Pessoa montada em animal ou ocupante de um veículo a tração animal traumatizado em colisão com um outro veículo não-motorizado
cid,V808,Pessoa montada em animal ou ocupante de um veículo a tração animal traumatizado em colisão com um objeto fixo ou parado
cid,V809,Pessoa montada em animal ou ocupante de um veículo a tração animal traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
cid,V810,Ocupante de um trem [comboio] ou de um veículo ferroviário traumatizado em colisão com um veículo a motor em um acidente não-de-trânsito
cid,V811,Ocupante de um trem [comboio] ou de um veículo ferroviário traumatizado em colisão com um veículo a motor em um acidente de trânsito
cid,V812,Ocupante de um trem [comboio] ou de um veículo ferroviário traumatizado em colisão com ou atingido por material rodante
cid,V813,Ocupante de um trem [comboio] ou de um veículo ferroviário traumatizado em colisão com outro objeto
cid,V814,Pessoa traumatizada ao subir ou descer de um trem [comboio] ou de um veículo ferroviário
cid,V815,Ocupante de um trem [comboio] ou de um veículo ferroviário traumatizado devido a uma queda no interior dos mesmos
cid,V816,Ocupante de um trem [comboio] ou de um veículo ferroviário traumatizado devido a uma queda do trem ou do veículo ferroviário
cid,V817,Ocupante de um trem [comboio] ou de um veículo ferroviário traumatizado em razão de um descarrilhamento sem colisão antecedente
cid,V818,Ocupante de um trem [comboio] ou de um veículo ferroviário traumatizado em outro acidente ferroviário especificado
cid,V819,Ocupante de um trem [comboio] ou de um veículo ferroviário traumatizado em um acidente ferroviário não especificado
cid,V820,Ocupante de um bonde [carro elétrico] traumatizado em uma colisão com um veículo a motor em um acidente não-de-trânsito
cid,V821,Ocupante de um bonde [carro elétrico] traumatizado em uma colisão com um veículo a motor em um acidente de trânsito
cid,V822,Ocupante de um bonde [carro elétrico] traumatizado em uma colisão com ou atingido por material rodante
cid,V823,Ocupante de um bonde [carro elétrico] traumatizado em uma colisão com outro objeto
cid,V824,Pessoa traumatizada ao subir ou descer de um bonde [carro elétrico]
cid,V825,Ocupante de um bonde [carro elétrico] traumatizado devido a uma queda no interior do mesmo
cid,V826,Ocupante de um bonde [carro elétrico] traumatizado devido a uma queda do mesmo
cid,V827,Ocupante de um bonde [carro elétrico] traumatizado devido a um descarrilhamento sem colisão antecedente
cid,V828,Ocupante de um bonde [carro elétrico] traumatizado em outros acidentes de transporte especificados
cid,V829,Ocupante de um bonde [carro elétrico] traumatizado em um acidente de trânsito não especificado
cid,V830,Condutor [motorista] de um veículo especial a motor usado principalmente em áreas industrias traumatizado em um acidente de trânsito
cid,V831,Passageiro de um veículo especial a motor usado principalmente em áreas industriais traumatizado em um acidente de trânsito
cid,V832,Pessoa viajando no exterior de um veículo especial a motor usado principalmente em áreas industriais traumatizado em um acidente de trânsito
cid,V833,Ocupante não especificado de um veículo especial a motor usado principalmente em áreas industriais traumatizado em um acidente de trânsito
cid,V834,Pessoa traumatizada ao subir ou descer de um veículo especial a motor usado principalmente em áreas industriais
cid,V835,Condutor [motorista] de um veículo especial a motor usado principalmente em áreas industrias traumatizado em um acidente não-de-trânsito
cid,V836,Passageiro de um veículo especial a motor usado principalmente em áreas industriais traumatizado em um acidente não-de-trânsito
cid,V837,Pessoa viajando no exterior de um veículo especial a motor usado principalmente em áreas industriais traumatizado em um acidente não-de-trânsito
cid,V839,Ocupante não especificado de um veículo especial a motor usado principalmente em áreas industriais traumatizado em um acidente não-de-trânsito
cid,V840,Condutor [motorista] de um veículo especial a motor de uso essencialmente agrícola traumatizado em um acidente de trânsito
cid,V841,Passageiro de um veículo especial a motor de uso essencialmente agrícola traumatizado em um acidente de trânsito
cid,V842,Pessoa viajando no exterior de um veículo especial a motor de uso essencialmente agrícola traumatizado em um acidente de trânsito
cid,V843,Ocupante não especificado de um veículo especial a motor de uso essencialmente agrícola traumatizado em um acidente de trânsito
cid,V844,Pessoa traumatizado ao subir ou descer de um veículo especial a motor de uso essencialmente agrícola
cid,V845,Condutor [motorista] de um veículo especial a motor de uso essencialmente agrícola traumatizado em um acidente não-de-trânsito
cid,V846,Passageiro de um veículo especial a motor de uso essencialmente agrícola traumatizado em um acidente não-de-trânsito
cid,V847,Pessoa viajando no exterior de um veículo especial a motor de uso essencialmente agrícola traumatizado em um acidente não-de-trânsito
cid,V849,Ocupante não especificado de um veículo especial a motor de uso essencialmente agrícola traumatizada em um acidente não-de-trânsito
cid,V850,Condutor [motorista] de um veículo a motor especial de construções traumatizado em um acidente de trânsito
cid,V851,Passageiro de um veículo a motor especial de construções traumatizado em um acidente de trânsito
cid,V852,Pessoa viajando no exterior de um veículo a motor especial de construções traumatizado em um acidente de trânsito
cid,V853,Ocupante não especificado de um veículo a motor especial de construções traumatizado em um acidente de trânsito
cid,V854,Pessoa traumatizada ao subir ou descer de um veículo a motor especial de construções
cid,V855,Condutor [motorista] de um veículo a motor especial de construções traumatizado em um acidente não-de-trânsito
cid,V856,Passageiro de um veículo a motor especial de construções traumatizado em um acidente não-de-trânsito
cid,V857,Pessoa viajando no exterior de um veículo a motor especial de construções traumatizado em um acidente não-de-trânsito
cid,V859,Ocupante não especificado de um veículo a motor especial de construções traumatizado em um acidente não-de-trânsito
cid,V860,"Condutor [motorista] de um veículo especial para qualquer terreno ou de outro veículo a motor projetado essencialmente para uso não em via pública, traumatizado em um acidente de trânsito"
cid,V861,"Passageiro de um veículo especial para qualquer terreno ou de outro veículo a motor projetado essencialmente para uso não em via pública, traumatizado em um acidente de trânsito"
cid,V862,"Pessoa viajando no exterior de um veículo especial para qualquer terreno ou de outro veículo a motor projetado essencialmente para uso não em via pública, traumatizado em um acidente de trânsito"
cid,V863,Ocupante não especificado de um veículo especial para qualquer terreno ou de outro veículo a motor projetado essencialmente para uso não em via pública traumatizado em um acidente de trânsito
cid,V864,Pessoa traumatizada ao subir ou descer de um veículo especial para qualquer terreno ou de outro veículo a motor projetado essencialmente para uso não em via pública
cid,V865,Condutor [motorista] de um veículo especial para qualquer terreno ou de outro veículo a motor projetado essencialmente para uso não em via pública traumatizado em um acidente não-de-trânsito
cid,V866,Passageiro de um veículo especial para qualquer terreno ou de outro veículo a motor projetado essencialmente para uso não em via pública traumatizado em um acidente não-de-trânsito
cid,V867,Pessoa viajando no exterior de um veículo especial para qualquer terreno ou de outro veículo a motor projetado essencialmente para uso não em via pública traumatizado em um acidente não-de-trânsito
cid,V869,Ocupante não especificado de um veículo especial para qualquer terreno ou de outro veículo a motor projetado essencialmente para uso não em via pública traumatizado em um acidente não-de-trânsito
cid,V870,Pessoa traumatizada em uma colisão entre um automóvel [carro] e um veículo a motor de duas ou três rodas (acidente de trânsito)
cid,V871,Pessoa traumatizada em uma colisão entre outro veículo a motor e um veículo a motor de duas ou três rodas (acidente de trânsito)
cid,V872,Pessoa traumatizada em uma colisão entre um automóvel [carro] e uma caminhonete (acidente de trânsito)
cid,V873,Pessoa traumatizada em uma colisão entre um automóvel [carro] e um ônibus (acidente de trânsito)
cid,V874,Pessoa traumatizada em uma colisão entre um automóvel [carro] e um veículo de transporte pesado (acidente de trânsito)
cid,V875,Pessoa traumatizada em uma colisão entre um veículo de transporte pesado e um ônibus (acidente de trânsito)
cid,V876,Pessoa traumatizada em uma colisão entre um trem ou um veículo ferroviário e um automóvel [carro] (acidente de trânsito)
